N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
164,HDC현대산업개발,"26,000","상승1,850",+7.66%,"5,000","17,136","65,907",14.86,"2,128,257",8.78,5.87,
165,롯데에너지머티리얼즈,"37,000",하락50,-0.13%,500,"17,061","46,111",9.18,"409,272",-536.23,-2.25,
166,대웅제약,"146,200","상승3,000",+2.09%,"2,500","16,940","11,587",9.01,"74,958",14.80,17.70,
167,현대엘리베이,"42,900",하락200,-0.46%,"5,000","16,771","39,092",26.94,"37,817",16.58,26.15,
168,KODEX 미국S&P500TR,"17,040",하락35,-0.20%,0,"16,733","98,200",0.08,"4,204,446",N/A,N/A,
169,한솔케미칼,"147,600",상승200,+0.14%,"5,000","16,731","11,335",40.79,"68,228",14.37,13.10,
170,KODEX 1년은행양도성예금증서+액티브(합성),"1,012,905",상승95,+0.01%,0,"16,717","1,650",0.00,"13,475",N/A,N/A,
171,HL만도,"35,400",하락150,-0.42%,"1,000","16,623","46,957",27.94,"111,445",7.05,6.18,
172,오뚜기,"414,000","하락4,000",-0.96%,"5,000","16,592","4,008",11.91,"1,722",9.94,8.55,
173,한국콜마,"70,100",하락400,-0.57%,500,"16,547","23,605",32.55,"329,272",282.66,0.79,
174,SK가스,"177,300","상승3,400",+1.96%,"5,000","16,365","9,230",7.13,"6,846",7.55,12.85,
175,TIGER 24-12 금융채(AA-이상),"51,770",하락5,-0.01%,0,"16,198","31,288",0.00,"2,429",N/A,N/A,
176,풍산,"57,600",상승900,+1.59%,"5,000","16,142","28,024",19.80,"132,973",7.86,8.22,
177,한국앤컴퍼니,"16,960",상승260,+1.56%,500,"16,101","94,935",9.67,"108,015",4.72,4.76,
178,종근당,"122,100","상승1,800",+1.50%,"2,500","16,086","13,174",15.52,"63,961",7.56,29.56,
179,LG화학우,"207,000",보합0,0.00%,"5,000","15,916","7,689",55.71,"13,492",102.12,N/A,
180,에스엘,"34,050",상승450,+1.34%,500,"15,816","46,449",16.92,"63,199",4.37,18.83,
181,하이트진로,"21,950",상승100,+0.46%,"5,000","15,394","70,134",11.25,"165,253",17.90,3.16,
182,ACE 미국30년국채액티브(H),"8,895",하락55,-0.61%,0,"15,326","172,300",0.01,"2,637,757",N/A,N/A,
183,신세계,"151,400","상승2,200",+1.47%,"5,000","14,906","9,845",16.58,"19,845",7.39,5.41,
184,코리안리,"8,900",상승20,+0.23%,500,"14,718","165,368",27.15,"160,434",6.46,9.51,
185,HD현대인프라코어,"7,360",상승30,+0.41%,"1,000","14,691","199,603",10.44,"569,132",10.81,13.37,
186,세방전지,"104,700",상승900,+0.87%,500,"14,658","14,000",29.01,"185,411",8.60,9.29,
187,TIGER 차이나전기차SOLACTIVE,"6,515",하락10,-0.15%,0,"14,643","224,760",0.70,"1,168,861",N/A,N/A,
188,에스디바이오센서,"11,510",하락560,-4.64%,500,"14,327","124,477",6.91,"1,104,245",-7.36,-16.22,
189,OCI홀딩스,"72,700","하락1,300",-1.76%,"5,000","14,223","19,564",23.51,"62,405",4.58,18.69,
190,롯데웰푸드,"150,700",하락200,-0.13%,500,"14,218","9,435",13.56,"18,367",15.63,3.46,
191,현대위아,"52,100",상승300,+0.58%,"5,000","14,169","27,195",15.43,"31,370",9.55,2.73,
192,DGB금융지주,"8,360",상승20,+0.24%,"5,000","14,141","169,146",43.52,"261,690",4.27,6.73,
193,대웅,"24,250",상승400,+1.68%,500,"14,099","58,142",5.47,"92,902",10.42,17.31,
194,KODEX 단기채권PLUS,"111,670",상승15,+0.01%,0,"14,075","12,604",0.00,"208,345",N/A,N/A,
195,SK리츠,"5,160",상승20,+0.39%,500,"13,941","270,175",8.27,"223,289",303.53,0.43,
196,코스맥스,"121,400","하락1,800",-1.46%,500,"13,778","11,350",29.12,"100,041",18.91,12.11,
197,금호타이어,"4,770",상승35,+0.74%,"5,000","13,702","287,260",8.87,"299,972",4.97,13.20,
198,이수스페셜티케미컬,"45,350","하락2,100",-4.43%,"1,000","13,699","30,208",6.80,"1,019,119",-179.96,N/A,
199,신영증권,"82,600","하락2,000",-2.36%,"5,000","13,579","16,440",7.14,"8,247",9.66,9.27,
200,동양생명,"8,400",상승100,+1.20%,"5,000","13,554","161,359",82.27,"194,498",6.65,6.97,
